Date : 2023-10-12 15:53:02
Directory : c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc
Total : 205 files,  20119 codes, 239 comments, 4838 blanks, all 25196 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\geographic_api.dart                                         | Dart       |         13 |          0 |          6 |         19 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\notification_api.dart                                       | Dart       |         82 |          0 |          6 |         88 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\save_api.dart                                               | Dart       |         42 |          0 |         14 |         56 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\authentication\sign_in_page.dart                                | Dart       |        243 |          0 |         44 |        287 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\authentication\sign_up_page.dart                                | Dart       |        266 |          0 |         57 |        323 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\connection\auth_config.dart                                     | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\connection\cluster_fsc.dart                                     | Dart       |         15 |          0 |          3 |         18 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\constant.dart                                                   | Dart       |         12 |          0 |          1 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\data_caller.dart                                   | Dart       |        225 |          0 |         97 |        322 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\data_retriever.dart                                | Dart       |         85 |          0 |         39 |        124 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\date_getter.dart                                   | Dart       |         23 |          0 |         13 |         36 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\files_name_retriever.dart                          | Dart       |         23 |          0 |         11 |         34 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\login_process.dart                                 | Dart       |        171 |          0 |         66 |        237 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\register_process.dart                              | Dart       |        129 |          0 |         39 |        168 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\thumbnail_retriever.dart                           | Dart       |        103 |          0 |         44 |        147 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\update_data.dart                                   | Dart       |         51 |          0 |         27 |         78 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\user_data_retriever.dart                           | Dart       |         62 |          0 |         30 |         92 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\crud.dart                                            | Dart       |         66 |          0 |         23 |         89 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\delete_data.dart                                     | Dart       |         94 |          0 |         30 |        124 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\insert_data.dart                                     | Dart       |        132 |          0 |         37 |        169 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\rename_data.dart                                     | Dart       |         66 |          0 |         15 |         81 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\retrieve_data.dart                                   | Dart       |         80 |          0 |         24 |        104 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\count_directory.dart                            | Dart       |         13 |          0 |          5 |         18 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\create_directory.dart                           | Dart       |         22 |          0 |         11 |         33 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\delete_directory.dart                           | Dart       |         29 |          0 |         12 |         41 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\directory_data.dart                             | Dart       |         94 |          0 |         36 |        130 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\rename_directory.dart                           | Dart       |         29 |          0 |         12 |         41 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\save_directory.dart                             | Dart       |         88 |          0 |         35 |        123 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\encryption\encryption_model.dart                                | Dart       |         29 |          0 |         14 |         43 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\encryption\hash_model.dart                                      | Dart       |         10 |          0 |          3 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\encryption\verify_auth.dart                                     | Dart       |         15 |          0 |          7 |         22 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\create_folder.dart                                 | Dart       |         42 |          0 |         14 |         56 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\delete_folder.dart                                 | Dart       |         21 |          0 |          8 |         29 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\folder_data_retriever.dart                         | Dart       |         95 |          0 |         36 |        131 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\folder_name_retriever.dart                         | Dart       |         21 |          0 |         10 |         31 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\rename_folder.dart                                 | Dart       |         27 |          0 |          9 |         36 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\save_folder.dart                                   | Dart       |         85 |          0 |         34 |        119 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\global\global_table.dart                                        | Dart       |         47 |          0 |          7 |         54 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\global\globals.dart                                             | Dart       |        129 |          0 |         27 |        156 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\call_notification.dart                                   | Dart       |         53 |          0 |         11 |         64 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\call_preview_file_data.dart                              | Dart       |         31 |          0 |         10 |         41 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\call_toast.dart                                          | Dart       |         16 |          0 |          3 |         19 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\date_parser.dart                                         | Dart       |         17 |          0 |         12 |         29 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\date_short_form.dart                                     | Dart       |         44 |          0 |          8 |         52 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\external_app.dart                                        | Dart       |         30 |          0 |         15 |         45 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\generate_thumbnail.dart                                  | Dart       |         27 |          0 |         12 |         39 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\get_assets.dart                                          | Dart       |         17 |          0 |          6 |         23 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\navigate_page.dart                                       | Dart       |        176 |          0 |         32 |        208 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\random_generator.dart                                    | Dart       |         14 |          0 |          5 |         19 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\scanner_pdf.dart                                         | Dart       |         30 |          0 |         12 |         42 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\shorten_text.dart                                        | Dart       |         12 |          0 |          5 |         17 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\simplify_download.dart                                   | Dart       |         58 |          0 |         28 |         86 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\validate_email.dart                                      | Dart       |          6 |          0 |          2 |          8 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\visibility_checker.dart                                  | Dart       |         12 |          0 |          5 |         17 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\bottom_trailing\folder_dialog.dart              | Dart       |         91 |          0 |         13 |        104 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\bottom_trailing\upgrade_dialog.dart             | Dart       |        171 |          0 |         16 |        187 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\create_directory_dialog.dart                    | Dart       |         73 |          0 |         13 |         86 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\delete_dialog.dart                              | Dart       |         55 |          0 |          2 |         57 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\delete_selection_dialog.dart                    | Dart       |         56 |          0 |          2 |         58 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\rename_dialog.dart                              | Dart       |        118 |          0 |         20 |        138 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\rename_folder_dialog.dart                       | Dart       |         67 |          0 |         12 |         79 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\sharing_dialog\add_password_dialog.dart         | Dart       |         91 |          0 |         21 |        112 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\sharing_dialog\ask_sharing_password_dialog.dart | Dart       |        109 |          0 |         15 |        124 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\text_dialog\discard_changes_dialog.dart         | Dart       |         41 |          0 |          3 |         44 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\text_dialog\save_text_dialog.dart               | Dart       |         75 |          0 |         12 |         87 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\main.dart                                                       | Dart       |         68 |          0 |         11 |         79 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\offline_mode.dart                                        | Dart       |        114 |          0 |         39 |        153 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\picker_model.dart                                        | Dart       |         61 |          0 |         18 |         79 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\process_audio.dart                                       | Dart       |         19 |          0 |          6 |         25 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\update_list_view.dart                                    | Dart       |        135 |          0 |         41 |        176 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\comment_page.dart                                         | Dart       |        237 |          0 |         57 |        294 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\create_text.dart                                          | Dart       |        215 |          0 |         54 |        269 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\home_page.dart                                            | Dart       |      2,356 |          0 |        800 |      3,156 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\main_page.dart                                            | Dart       |        103 |          0 |         17 |        120 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\my_plan_page.dart                                         | Dart       |        538 |          0 |         75 |        613 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\passcode\configure_passcode_page.dart                     | Dart       |        132 |          0 |         20 |        152 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\passcode\passcode_page.dart                               | Dart       |        369 |          0 |         82 |        451 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\settings_page.dart                                        | Dart       |        448 |          1 |         90 |        539 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\sharing\configure_sharing_password.dart                   | Dart       |        134 |          0 |         23 |        157 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\sharing\share_file_page.dart                              | Dart       |        225 |          1 |         46 |        272 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\splash_screen_page.dart                                   | Dart       |        279 |          0 |         97 |        376 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\statistics_page.dart                                      | Dart       |        445 |          3 |         92 |        540 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\upload_ps_page.dart                                       | Dart       |        264 |          0 |         40 |        304 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_audio.dart                                    | Dart       |        411 |          0 |         89 |        500 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_file.dart                                     | Dart       |        836 |          0 |        219 |      1,055 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_image.dart                                    | Dart       |         62 |          0 |         16 |         78 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_pdf.dart                                      | Dart       |         59 |          0 |         16 |         75 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_text.dart                                     | Dart       |         91 |          0 |         22 |        113 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_video.dart                                    | Dart       |        379 |          0 |         60 |        439 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\ps_data_provider.dart                                  | Dart       |         21 |          0 |          7 |         28 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\ps_storage_data.provider.dart                          | Dart       |         36 |          0 |         13 |         49 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\storage_data_provider.dart                             | Dart       |         92 |          0 |         30 |        122 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\temp_data_provider.dart                                | Dart       |         42 |          0 |         16 |         58 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\temp_payment_provider.dart                             | Dart       |         21 |          0 |          7 |         28 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\user_data_provider.dart                                | Dart       |         31 |          0 |         11 |         42 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\byte_getter.dart                           | Dart       |        129 |          0 |         42 |        171 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\data_retriever.dart                        | Dart       |         64 |          0 |         22 |         86 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\date_getter.dart                           | Dart       |         43 |          0 |         28 |         71 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\get_uploader_name.dart                     | Dart       |         36 |          0 |         14 |         50 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\name_getter.dart                           | Dart       |         37 |          0 |         18 |         55 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\thumbnail_getter.dart                      | Dart       |         31 |          0 |         17 |         48 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\title_getter.dart                          | Dart       |         37 |          0 |         20 |         57 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\uploader_getter.dart                       | Dart       |         17 |          0 |          8 |         25 |
